JJJ Microtext Export Language Codes
ara	Arabic
baq	Basque
cai	Central American Indian (Other)
cat	Catalan
chi	Chinese
cze	Czech
dan	Danish
dut	Dutch
egy	Egyptian
eng	English
est	Estonian
fin	Finnish
fre	French
gag	Galician
gal	Oromo
ger	German
glg	Galician
grc	Greek
gre	Greek
her	Herero
hin	Hindi
hun	Hungarian
ind	Indonesian
ita	Italian
jpn	Japanese
lat	Latin
lav	Latvian
lit	Lithuanian
mac	Macedonian
mul	Multiple
nah	Nahuatl
nor	Norwegian
pol	Polish
por	Portuguese
rum	Romanian
rus	Russian
scc	Serbian
scr	Serbo-Croatian
slo	Slovak
slv	Slovenian
spa	Spanish
swe	Swedish
tha	Thai
tur	Turkish
und	Undetermined
wel	Welsh
zap	Zapotec
